,monthly_income,monthly_outcome,total_credit_payments,payments_per_year,loan_term,loan_amount,_will_pay,worst_previous_delinquency,worst_previous_fraction,_is_account_recent,_is_common_type,ratio_outcome_income,sqrt_income,sqrt_outcome,log_income,log_outcome
1462,87,34957,24.0,24,1.0,5000.0,1,512.0,0.0625,1,1,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1463,87,34957,24.0,12,2.0,20000.0,1,0.0,0.0,0,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1547,178,387,1.0,12,0.08333333333333333,621.5384615384615,0,0.0,0.0,0,0,0.4599483204134367,13.341664064126334,19.672315572906,5.181783550292085,5.958424693029782
1549,178,387,1.0,12,0.08333333333333333,419.0,0,0.0,0.0,0,0,0.4599483204134367,13.341664064126334,19.672315572906,5.181783550292085,5.958424693029782
1574,69579,75754,48.0,12,4.0,290256.0,1,0.0,0.0,1,0,0.9184861525464002,263.7783160155512,275.234445518725,11.150218076656694,11.235246527257994
1580,69579,75754,6.0,12,0.5,20676.0,1,0.0,0.0,1,0,0.9184861525464002,263.7783160155512,275.234445518725,11.150218076656694,11.235246527257994
1583,69579,75754,19.0,24,0.7916666666666666,66800.0,1,0.0,0.0,1,0,0.9184861525464002,263.7783160155512,275.234445518725,11.150218076656694,11.235246527257994
1866,65683,64835,36.0,12,3.0,226548.0,1,0.0,0.0,1,0,1.0130793552864965,256.2869485557156,254.62717843938026,11.092595419088065,11.079600859982985
1867,65683,64835,36.0,12,3.0,226548.0,1,0.0,0.0,1,0,1.0130793552864965,256.2869485557156,254.62717843938026,11.092595419088065,11.079600859982985
1868,65683,64835,36.0,12,3.0,129420.0,1,0.0,0.0,1,0,1.0130793552864965,256.2869485557156,254.62717843938026,11.092595419088065,11.079600859982985
1869,65683,64835,36.0,12,3.0,129420.0,1,0.0,0.0,1,0,1.0130793552864965,256.2869485557156,254.62717843938026,11.092595419088065,11.079600859982985
1870,65683,64835,36.0,12,3.0,147816.0,1,0.0,0.0,1,0,1.0130793552864965,256.2869485557156,254.62717843938026,11.092595419088065,11.079600859982985
1875,65683,64835,12.0,12,1.0,31564.0,1,0.0,0.0,1,0,1.0130793552864965,256.2869485557156,254.62717843938026,11.092595419088065,11.079600859982985
1879,113280,61296,42.0,24,1.75,91791.0,1,311.0,0.16666666666666666,1,0,1.8480814408770556,336.5709434874021,247.58029000710053,11.637617908927547,11.023469866940431
1880,113280,61296,12.0,12,1.0,1440.0,1,0.0,0.0,1,1,1.8480814408770556,336.5709434874021,247.58029000710053,11.637617908927547,11.023469866940431
1881,113280,61296,12.0,12,1.0,864.0,1,0.0,0.0,1,1,1.8480814408770556,336.5709434874021,247.58029000710053,11.637617908927547,11.023469866940431
